uni_name
Gumi Campus Of Korea Polytechnic Vi
Korea Polytechnic Vii
Busan Campus Of Korea Polytechnic Ⅶ
Ulsan Campus Of Korea Polytechnic
Bio Campus Of Korea Polytechnic
Yeongnam Convergence Technology Campus Of Korea Polytechnic
Semiconductor Covergence Of Korea Polytechnic
Aviation Campus Of Korea Polytechnic
KDI School Of Public Policy And Management
Daehan Theological Semisary&University
Berea International Theological Seminary
Asia Life University
Sungsan Hyo University
Won-Buddhism Graduate School
Westminster Graduate School Of Theology
Hapdong Theological Seminary
Torch Trinity Graduate University
SUDO INTERNATIONAL UNIVERSITY
Seoul University of Bible and Theology
Yemyung Graduate University
Seoul Social Welfare Graduate University
Onseok University
Transnational Law And Business University 
International Graduate School Of Language Education
University Of Brain Education
Seoul University Of Buddhism
Seoul University Of Foreign Studies
Seoul Venture University
Bible Baptist Theological Seminary
Ezra Bible Institute For Graduate Studies
Reformed Graduate University
University of Science and Technology
aSSIST University
Sunhak Universal Peace Graduate University
Gyeongan Graduate University
Dongbang Culture University
University Of North Korean Studies
Sunbokeum Theological Seminary
Graduate School Of Practical Theology
Hallym University Of Graduate Studies
Korea University Of International Studies
Seoul Media Institute Of Technology
Seoul Graduate School Of Counseling Psychology
Korea Counseling Graduate University
Juan International University
Kepco International Nuclear Graduate School
"The Graduate School of Korean  Studies, The Academy of Korean  Studies"
Gangneung Wonju Graduate School
Gangneung Wonju Graduate School
Gangneung Wonju Graduate School Of Management & Policy Science
Gangneung Wonju Graduate School Of Management & Policy Science
Gangneung Wonju Graduate School Of Education
Gangneung Wonju Graduate School Of Education
Gangneung Wonju Graduate School Of Industrial Technology
Gangneung Wonju Graduate School Of Industrial Technology
Kangwon National University Graduate School
Kangwon National University Graduate School Of Business Administration
Kangwon National University Graduate School Of Education
Kangwon National University The Graduate School Of Industry & Science
Kangwon National University Graduate School Of Lndustry
Kangwon National University School Of Law
Kangwon National University School Of Medicine
Kangwon National University Graduate School Of Information Science & Public Administration
Graduate School Of Law
Kangwon National University Graduate School Of  Disaster Prevention
Graduate School Of Green And Life Industry Policy
Kyungpook National University Graduate School
Kyungpook National University Graduate School Of Business Administration
Kyungpook National University Graduate School Of Education
Kyungpook National University Graduate School Of International Studies
Kyungpook National University Graduate School Of Public Health
Kyungpook National University Graduate School Of Industry
Kyungpook National University Graduate School Of Policy And Information
Kyungpook National University Graduate School Of Public Administration
Kyungpook National University Law School
Kyungpook National University Graduate School Of Forensic And Investigative Science
Kyungpook National University School Of Medicine
Kyungpook National University School Of Dentistry
The Graduate School Of Gsnu
Graduate School Of Business Administation
Graduate School Of Education
Graduate School Of Public Health
Graduate School Of Public Administration
Gyeongsang National University
Graduate School Of Convergence Science And Thechnology
Specialized Graduate School Of Aerospace Engineering
The Graduate School Of Kongju National University
The Graduate School Of Business &  Public Administration Kongju National University
The Graduate School Of Education Of Kongju National University
The Graduate School Of Industrial Sciences Kongju National University
The Graduate School Of Special Education Of Knu
The Graduate School Of Media Image & Art
"Graduate School Of Technology & Management, Kongju National University "
The Graduate School Of Security Science Kongju National University
The Graduate School Of Cultural Heritage Kongju National University
"Graduate School, Kunsan National University "
"Graduate School of Business and Public Administration, Kunsan National University"
"Graduate School of Education, Kunsan National University"
"Graduate School of Industry, Kunsan National University"
Kumoh National Institute of Technology Graduate School
Kumoh National Institute of Technology Graduate School of Education
Kumoh National Institute of Technology Graduate School of Industry
Kumoh National Institute of Technology Graduate School of Consulting
Mokpo National University Graduate School
Graduate School Of Business & Public Administration
Graduateschool Of Education
Graduate School Of Industrial Technology
Mokpo National Maritime University Graduate School
Mokpo National Maritime University Graduate School Of Maritime Industry
Graduate School Of Pukyong National Unuversity
Graduate School Of Business Administration
Graduate School Of Education
Graduate School Of International Studies
Graduate School Of Industry
Graduate Schooi
Graduate School of Business
Graduate School Of Education
Graduate School Of Industry
Graduate School Of Public Administration
Graduate School Of Environment
Pusan National University School Of Korean Medicine
Graduate School Of International Studies
School Of Law
School Of Medicine Pusan National University
Pusan Natioanl University School Of Dentistry
Graduate School Of Economics And International Trade Pusan National University
Graduate School of Seoul National University
Seoul National University Graduate School Of International Studies
Seoul National University Graduate School Of Public Health
Seoul National University Graduate School of Public Administration
Seoul National University Graduate School of Environmental Studies
Seoul National University Graduate School Of Business
Seoul National University School of Law
Seoul National University School of Dentistry
School Of Medicine
Seoul National University Graduate School of Convergence Science And Technology
Bulletion To The Graduate School
Graduate School Of Business&Publicadministrati
Graduate School Of Education
Graduate School Of Industry Sunchon National Unive
Graduate School Of Social Science And Cultural Art Sunchon National University
Graduateschoolandongnationaluniversity
Andong national university Graduate School Of Education
Graduate School of public Administration business Andong National University
Graduate School Of Creative Industry Andong National University
Graduate School C.N.U
Graduate School Of Education C.N.U.
Graduate School Of Industry And Technology C.N.U.
Graduate School Of Public Administration C.N.U.
"Graduate School Of Business, Chonnam National University"
Lawschool
School Of Medicine
School Of Dentistry C.N.U.
Graduate School Of Industry Cooperation Technology
Graduate School Of Fisheries & Ocean Science
Graduate School Of Culture
Jeonbuk National Graduate School
Jeonbuk National Graduate School Of Businessadmin
Jeonbuk National Graduate School Of Education
Jeonbuk National Graduate School Of Legal Affairs
Jeonbuk National Graduate School Tublic Health
Jeonbuk National Graduate School Of Industrialtech
Jeonbuk National Graduate School Of Inform.Science
Jeonbuk National Graduate School Of Publicadmin.
Jeonbuk National Graduate School Of Envior.Studies
Jeonbuk National School of Law
Jeonbuk National Graduate School Of Medicine
Jeonbuk National Graduate School Of Dentistry
Jeonbuk National Graduate School Of Natural Resources & Life Sciences
Jeonbuk National Graduate School Of Flexible Printed Electronics
Jeju National University Graduate School
Jeju National University Graduate School Of Business Administration
Jeju National University Graduate School Of Education
Jeju National University Graduate School Of Public Health
Jeju National University Graduate School Of Industry
Jeju National University Graduate School Of Public Administration
Jeju National University Law School
Jeju National University School Of Medicine
Graduate School Of Changwon National University
Graduate School Of Business Changwon National Universty
Graduate School Of Education Changwon National University
Graudate Shcool Of Labor Changwon National University
Graduate School Of Public Health Changwon National University
Graduate School Of Social Welfare Changwon National University
Graduate School Of Public Affairs Changwon National University
Graduate School Of Green Energy Changwon National University
Chungnam National University Graduate School
Graduate School Of Business Administration Chungnam National University
Graduauate School Of Education Chungnam National University
Graduate School Of Public Health
Graduate School Of Industry Chungnam National University
The Graduate School Of Intellectual Property Law
Graduate School Of Puablic Administration Chungnam National University
Chungnam National University Law School
Graduate School Of Peace & Security Studies
"Chungnam National University, School Of Medicine"
Graduate School Of Analytical Science And Technology
Graduate School Of Green Energy Technology
Graduate School Of New Drug Discovery & Development
Graduate School Chungbuk National University
Graduate School Of Business Chungbuk National University
Graduate School Of Education Chungbuk National University
Graduate School Of Legal Affairs Chungbuk National University
Graduate School Of Industry Chungbuk National University
Graduate School Of Public Administration 
Chungbuk National University Law School
Graduate School Of Korea National University Of Education
Graduate School Of Education Of Korea National University Of Education
Graduate School Of Educational Policy And Administration Of Korea National University Of Education
Korea National Sport University Graduate School
Knsu Graduate School Of Education
Knsu Graduate School Of Sport And Leisure Studies
"Graduate School of General Studies, Korea Maritime & Ocean Univetrsity"
"Graduate School of Education, Korea Maritime & Ocean University"
"Graduate School of Maritime Industries, Korea Maritime & Ocean Univetrsity"
"Graduate School Of Maritime Management&Technology,  Korea Maritime & Ocean University"
Korea National University Of Transportation-Graduate School
Korea National University Of Transportation-Graduate School Of Business Administration And Public Administration
Korea National University Of Transportation-Graduate School Of Education
Korea National University Of Transportation-Graduate School Of Humanities
"Graduate School, Gyeongnam National University Of Science And Technology"
Graduate School Of Business & Entrepreneurship
Graduate School Seoul National University Of Science And Technology
Graduate School Of Industry Seoul National University Of Science And Technology
Graduate School Of Railway Seoul National University Of Science And Technology
Graduate School Of Public Policy And Information Technology Seoul National University Of Science And Technology
Graduate School Of Energy And Environment Seoul National University Of Science And Technology
Graduate School of Hankyong National University
Hankyong National University Graduate School Of Technology
Hankyong National University Graduate School of International Development and Cooperation
